home_club_name,away_club_name,game_id,date,season,home_club_id,away_club_id,home_club_position,away_club_position,results,Difference value home et away,Ratio value home par away,home_team_value,away_team_value,LOG Ratio value home par away,difference classement,winrate_home 1 ans,winrate_away 1 ans,difference winrate home-away 1 ans,winrate_home 2 ans,winrate_away 2 ans,difference winrate home-away 2 ans,winrate_home 3 ans,winrate_away 3 ans,difference winrate home-away 3 ans,evolution difference winrate home-away entre 3 et 1 ans,winrate_confrontation_home 1 ans,winrate_confrontation_home 2 ans,winrate_confrontation_home 3 ans,pos_moy_home_1_ans,pos_moy_away_1_ans,difference classement moyen home-away 1 ans,pos_moy_home_2_ans,pos_moy_away_2_ans,difference classement moyen home-away 2 ans,pos_moy_home_3_ans,pos_moy_away_3_ans,difference classement moyen home-away 3 ans,evolution classement home 3 et 1 ans,evolution classement away 3 et 1 ans,evolution difference classement entre équipes entre 3 et 1 ans,nouveau club home 1 ans,nouveau club away 1 ans,nouveau club home 3 ans,nouveau club away 3 ans,diffbut_moy_home_1_ans,diffbut_moy_away_1_ans,difference de buts moyenne home-away 1 ans,diffbut_moy_home_2_ans,diffbut_moy_away_2_ans,difference de buts moyenne home-away 2 ans,diffbut_moy_home_3_ans,diffbut_moy_away_3_ans,difference de buts moyenne home-away 3 ans,evolution difference de buts home 3 et 1 ans,evolution difference de buts away 3 et 1 ans,evolution difference de buts entre équipes entre 3 et 1 ans,diffbut_moy_confrontation_1_ans,diffbut_moy_confrontation_2_ans,diffbut_moy_confrontation_3_ans
ESTAC Troyes,Toulouse Football Club,2223871,2012-09-29,2012,1095,415,20.0,6.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,14.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thonon Évian Grand Genève FC,Football Club Lorient-Bretagne Sud,2223872,2012-09-29,2012,14171,1158,18.0,4.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,14.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toulouse Football Club,Valenciennes FC,2223873,2012-10-06,2012,415,1423,7.0,8.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,-1.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stade de Reims,Olympique Gymnaste Club Nice Côte d'Azur,2223874,2012-10-06,2012,1421,417,5.0,15.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-10.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stade brestois 29,FC Girondins Bordeaux,2223875,2012-10-07,2012,3911,40,12.0,6.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,6.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Nancy-Lorraine,Olympique de Marseille,2223876,2012-09-16,2012,1159,244,17.0,1.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,16.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toulouse Football Club,Stade de Reims,2223877,2012-09-01,2012,415,1421,5.0,14.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,-9.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC Bastia,AS Saint-Étienne,2223878,2012-09-01,2012,595,618,9.0,7.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,2.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stade brestois 29,ESTAC Troyes,2223879,2012-09-01,2012,3911,1095,10.0,19.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-9.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Saint-Étienne,FC Sochaux-Montbéliard,2223880,2012-09-15,2012,618,750,9.0,19.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,-10.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olympique Gymnaste Club Nice Côte d'Azur,Stade brestois 29,2223881,2012-09-15,2012,417,3911,10.0,13.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-3.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thonon Évian Grand Genève FC,SC Bastia,2223882,2012-09-15,2012,14171,595,15.0,12.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,3.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTAC Troyes,Lille Olympique Sporting Club Lille Métropole,2223883,2012-09-15,2012,1095,1082,20.0,11.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,9.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
